sample	group	fq1	fq2	RG
1528	1528	1528_lean_eWAT_GCCAAT_L005_R1.fastq.gz	1528_lean_eWAT_GCCAAT_L005_R2.fastq.gz	ID:ob1999 PU:ob1999 LB:ob1999 PL:ILLUMINA SM:ob1999
1587	1587	1587_ob_eWAT_GTGAAA_L004_R1.fastq.gz	1587_ob_eWAT_GTGAAA_L004_R2.fastq.gz	ID:ob1999 PU:ob1999 LB:ob1999 PL:ILLUMINA SM:ob1999
Suv5	Suv5	Suv5_eWAT_GTGAAA_L005_R1.fastq.gz	Suv5_eWAT_GTGAAA_L005_R2.fastq.gz	ID:ob1999 PU:ob1999 LB:ob1999 PL:ILLUMINA SM:ob1999
ctrl1691	ctrl1691	ctrl1691_eWAT_R1.fastq.gz	ctrl1691_eWAT_R2.fastq.gz	ID:ob1999 PU:ob1999 LB:ob1999 PL:ILLUMINA SM:ob1999
ctrl1711	ctrl1711	ctrl1711_eWAT_R1.fastq.gz	ctrl1711_eWAT_R2.fastq.gz	ID:ob1999 PU:ob1999 LB:ob1999 PL:ILLUMINA SM:ob1999
ctrl1996	ctrl1996	ctrl1996_eWAT_R1.fastq.gz	ctrl1996_eWAT_R2.fastq.gz	ID:ob1999 PU:ob1999 LB:ob1999 PL:ILLUMINA SM:ob1999
eWAT	eWAT	eWAT_Suv39_R1.fastq.gz	eWAT_Suv39_R2.fastq.gz	ID:ob1999 PU:ob1999 LB:ob1999 PL:ILLUMINA SM:ob1999
eWAT	eWAT	eWAT_Suv45_R1.fastq.gz	eWAT_Suv45_R2.fastq.gz	ID:ob1999 PU:ob1999 LB:ob1999 PL:ILLUMINA SM:ob1999
n1712	n1712	n1712_eWAT_R1.fastq.gz	n1712_eWAT_R2.fastq.gz	ID:ob1999 PU:ob1999 LB:ob1999 PL:ILLUMINA SM:ob1999
n1997	n1997	n1997_eWAT_R1.fastq.gz	n1997_eWAT_R2.fastq.gz	ID:ob1999 PU:ob1999 LB:ob1999 PL:ILLUMINA SM:ob1999
ob1693	ob1693	ob1693_eWAT_R1.fastq.gz	ob1693_eWAT_R2.fastq.gz	ID:ob1999 PU:ob1999 LB:ob1999 PL:ILLUMINA SM:ob1999
ob1999	ob1999	ob1999_eWAT_R1.fastq.gz	ob1999_eWAT_R2.fastq.gz	ID:ob1999 PU:ob1999 LB:ob1999 PL:ILLUMINA SM:ob1999
