"pathway","pval","padj","log2err","ES","NES","size","genes"
"AFF4_TARGET_GENES",0.146067415730337,0.909622293299006,0.195789002148949,-0.486295716440682,-1.58167994074009,657,"2410006H16Rik,Mir6236,Abcg1,H4c4,H2ac8,Hnrnpa0,Tjp2,Ddx6,H4c14,Setd5,Rpl41,Rps2,Cd68,Rcc2,Rpsa,Lmnb1,Raly,Rpl36a,Myl12a,Rps5,Rpl13a,Rps28,Rpl7a,Rpl39,Npm1,Rps15a,Gas5,Eef1g,Pabpc1,Rpl6,Rps27,Eif4a1,Rpl3,Rpl10,Rpl11,Rps26,Zbtb37,Rpl22l1,Polr2a,Rpl7,Rps27a,Dgkh,Nop58,Rpl3-ps1,Rplp0,Rpl10a,Atxn2l,Hspe1,Septin9,Rpl37,Gcn1,Rps15,Ppp1r10,Rpl36al,Tpt1,Hnrnpa3,Rpl9,Hnrnpc,Trps1,Mt1,Azin1,Rplp2,Tbl1xr1,Patz1,Eef2,BC005537,Resf1,Rplp1,Hk2,Kat6b,Anp32e,Rpl18,Rpl23a,Rpl14,E2f3,Atp6v1a,Spen,Ncl,H2bc8,H2ac15,Rpl12,Rpl26,Rps12,Tubb5,Tet2,Tfrc,Rpl22,Xpo1,Trip12,Ubald2,Arid1a,Ipo7,Birc6,Rpl18a,Senp6,Mybl2,H2ac20,Eef1a1,Scd2,Eef1b2,Cic,H1f4,Slc2a1,Cbx3,Slc25a12,Atxn7l3,Skp1,H1f1,Rps8,Senp3,Rad21,Ddx3x,Ints5,Tmem131,Snx5,Zfas1,Lasp1,Cbx5,Rpl13,Tdrd3,Zfhx2,H4c3,Rps9,Eif4e2,BC051226,Bcl7a,Actb,Rpl27,Zfp568,Stx3,Rpl35a,Set,Rps23,Rpl21,Hcfc1,Ino80d,Gapdh,Gpi1,Klf3,H3c6,Hnrnpa1,Cltc,Snhg6,Etf1,Slc38a1,Ccnd1,Hnrnpab,Pgk1,a,Trp53bp1,Itpk1,Actg1,H2bc15,Rpl28,Hnrnpdl,Lockd,H2ac22,Snhg12,Rabggtb,H2ac13,Fbxo5,Rnf157,Lpar6,Mesd,Srsf1,Kntc1,Brd2,Arl15,Srm,Tmpo,Rps11,Jade1,Ap4m1,Surf1,Klf2,H2bc27"
"AHCY_AHCYL_TARGET_GENES",0.48433734939759,0.909622293299006,0.0911073131586733,-0.304051847660457,-0.92253918297464,109,"H4c4,Rpl22l1,Nop58,Srsf6,Smim30,Sacs,Hdgfl3,Selenof,Arid1a,Rictor,Ptbp3,Prelid1,Snx5,Zfp866,Mettl15,Spg11,Rpl35a,Snrnp70,Ndufb3,Snhg6,Mterf4,Rps14,Hycc2,Msl2,Tex15,Zfp146,Cdca7,Cdk5rap1"
"ANP32E_TARGET_GENES",0.438066465256798,0.909622293299006,0.0714786287425507,0.266359498743702,0.866467276633304,987,"Egr2,Arhgap21,Kpna2,Cnot9,Dhrs7,Cdk2ap2,Sf3b4,Idh1,Ddx24,Vrk3,Ccng2,Sirt2,Naa35,Cfap418,Psmc4,Iscu,Faap20,1600020E01Rik,Zfp46,Mrps21,Arhgef1,Med11,Rhoc,Asap1,Eml4,Tmem19,Plekhg2,Arhgap4,Ythdf2,Mtmr14,Nfkbib,Phkg2,Nfkb2,Nr1h2,Anapc15,Lamtor3,Tspan31,Tfe3,Ppp2r5b,Fbxo30,Rbms1,Usp37,Tmem59,Dsel,Numb,Akirin1,Fmnl3,Rufy1,Cdc37,Abhd5,Nelfa,Brd7,Tmed1,Parp11,Chfr,Rpa1,Sfr1,Depdc1b,Prr14,Ptprs,Emc9,Slc35a4,Abhd16a,Dgat1,Cuta,Dnttip1,Sra1,Ubap2l,Hmg20b,Tor2a,Rab28,Zfp263,Exosc10,Prdm4,Nap1l4,Abhd4,Xbp1,Leprot,Donson,Ado,Irf3,Evl,Srsf5,Hbp1,Cchcr1,Camta2,Asah1,Gbp6,Kdm4c,Clptm1,Pja1,Wbp2,Cnot3,Atxn7l3b,Ppp1cc,Ap2s1,Rnf167,Dctn1,Egln2,Traf7,Grk4,Trp53bp2,Cyc1,Sgk1,Clpp,Zbtb7b,Tmbim6,Tmem128,Chmp7,Pias1,Arpc5,Slc25a32,Zbtb17,Sacm1l,Ubtf,Ociad1,Dcun1d4,Bcl2l12,Cdipt,Plgrkt,Blzf1,Phb1,4930481A15Rik,Ripk2,Nfe2l1,D8Ertd738e,Acp6,Nosip,Snrpb,Hras,Tsg101,Slc25a25,Ice2,Dcaf11,Wdr12,Stim2,Tcp11l2,Psmg1,Gimap4,Dpagt1,Ing4,Cyb5a,Rnf19a,Cmc2,Snf8,Fpgs,Usp2,Polr2c,Pacsin2,Armt1,Hdgfl2,Abcd4,Zfp335,Gatb,Get4,Pfkfb2,Bicdl1,Jkamp,Btbd1,Rae1,Ndufc1,Mrpl1,Itpripl1,Actr1a,Septin11,Zfp60,Cars2,Eapp,Zfr,Dpm2,Ints9,Lsg1,Bad,Kctd12,Anapc10,Med16,Smg7,Il1rap,Ergic2,Coil,Park7,Dad1,Yars1,Atp6v1c1,Mrps17,Slc19a2,Sertad1,Ubxn1,Stxbp3,Ubap1,Nampt,Prkrip1,Setd3,Ift46,Rnf181,Ciao1,Ppp1r7,Zfp653,Fry,Tmem123,Rnh1,Nans,Lrrc28,Tmem127,Khk,Copb2,Sap30,Tmub2,Seh1l,Capzb,Trp53rka,Recql5,Rnf122,Sh3yl1,Trmt12,Fiz1,Wbp1l,Selenok,Smarcc2,Ppme1,Ing3,Zfyve19,Camk2d,Ap5s1,Ubl3,Zfp395,Exoc7,Zdhhc7,Rnpepl1,Cln3,4930581F22Rik,Dph2,Slc25a35,Acox1,Pex12,Atox1,Prkag2,Bcor,Bcas3,Supt20,Ttc7,Srsf10,Abcb8,Abcb10,Coro1c,BC004004,Hibadh,Wdr43,Dync2i2,Hnrnpll,Dcaf13,D6Wsu163e,Srd5a3,Rnase4,Mtx2,Guk1,Brd3,Pcf11,Ube2v1,Hivep1,Dhodh,Utp3,Stam,Mon1a,Kptn,Gtpbp3,Bloc1s1,Odad1,Ssrp1,Tomm34,Dus3l,Tmem183a,Prkci,Mindy1,Wdr83,Tmem30a,Capns1,Lsm14a,Rpa2,Eif3b,Shc1,Map4k5,Vps25,Rbks,Etv5,Atp6v1f,Zfp473,Bcl2l11"
"ASH1L_TARGET_GENES",0.323893805309734,0.909622293299006,0.0965629554309422,0.62348908466241,1.13264034763617,6,"Crebzf,Ints7,Pde4d,Tcf4"
"ATAD2_TARGET_GENES",0.450396825396825,0.909622293299006,0.0843144320642653,0.793243586487173,1.04218117319513,1,"Haus5"
"BAZ1A_TARGET_GENES",0.556756756756757,0.909622293299006,0.0897104652742981,-0.260523511822314,-0.860361703188755,399,"Mir6236,ND5,Mphosph9,Etfbkmt,Rpl3,Tmem94,Polr2a,ND1,Parp4,Mrpl43,Kif1c,Matr3,Rtn4,Dyrk3,E2f3,Med13,Gpalpp1,Zfp407,Snhg15,Fancl,Usp32,Tmem87a,Atad2b,Ep400,Trip12,Rps6ka5,Ndufc2,Rb1cc1,Rps7,Dcaf7,H1f4,Cbx3,Myh10,Skp1,Nt5c3b,Dap,Sf3b6,Perp,Prr11,H4c3,Spg11,Canx,Rpl21,Ppp1cb,Acer3,Usp34,Mrps23,Timeless,Cltc,Acaca,Ofd1,Pgap1,Mrpl30,Mob1a,Ube2w,Spata2,Rsbn1l,Mesd,Tm9sf2,Eif2b2,Fam76b,Bmpr2"
"BCL11A_TARGET_GENES",0.318284424379232,0.909622293299006,0.112843355675562,-0.7395529023244,-1.20625642700854,3,"Actb,Eomes,Gata6"
"BMI1_TARGET_GENES",0.435294117647059,0.909622293299006,0.109684061970549,-0.260125436138175,-0.85270076927755,948,"Mir6236,CYTB,ND5,Abcb1a,Tjp2,Pkp4,Chsy1,Id2,ND6,Cdkn2a,Rbm45,Srgn,Rpl10,As3mt,Sec61g,Ncald,Apbb1ip,H60b,Lclat1,Bclaf1,Irf2bpl,Cep135,Gcn1,Atp5mc2,Ppp3cb,Dpy19l4,Rps19-ps6,Cdkn2c,Ntrk3,Atrx,Kctd1,AI504432,Lrba,Trps1,Zdhhc17,Runx2,Akap13,Tbc1d14,Pfdn4,Rtraf,Ikzf1,Bcl11b,Ptpn22,Med14,Enpp1,Gm11249,Celf2,Cdk12,Adamts6,Eef1d,Bcl2,Tfrc,Zfp142,Lncpint,Ppwd1,Tbc1d8b,Crem,Trmt112,Ythdc2,Acbd6,Cic,Gtf2i,Ap1s2,Bmal1,Pole2,Dock8,Fgf13,Zfp800,Ccdc30,Lrrc56,Dop1a,Pdpk1,Foxp1,Elk3,Inpp1,Ppp6r3,Zmym4,Pole4,Rpl38,Rbm19,Nasp,Spon1,Psd4,Adam22,Hmgxb3,Irf8,Lactb2,Sptbn1,Tnrc18,St3gal4,Mob4,Tia1,Ncoa2,Irag1,Arih1,Fyn,Pfkp,Olfm1,Stx3,Coq9,Zfp770,Nbeal1,Gstt2,Nfs1,Zfp91,Ppp3r1,Wipf1,Acaca,Usp49,Prkacb,Satb1,Txlng,Acin1,Pde4dip,Uhmk1,Atf6,Ltb4r1,Tmcc3,Rfx3,Nfatc1,Tmem163,H2-Q6,Ccr9"
"BRD3_TARGET_GENES",0.626356589147287,0.909622293299006,0.0554793308704233,0.259275363917118,0.844085396445847,489,"Arhgap21,Rsu1,Sh3gl1,Rtf2,Herpud1,Mcur1,Lrpap1,Rbpj,Vrk3,Mrpl37,Kctd10,Vps35l,Med8,Abtb1,Pter,Mfap3,Dcakd,Acadm,Zfpl1,B4galt3,Fam114a2,Eml4,Twf2,Ctnnbl1,Pop4,Mtmr14,Ccdc174,Paip2,Med28,Adam8,Crybg2,Mkrn2,Ptgr2,Cnot8,Nelfcd,Cdc37,Gskip,Fuca1,Kifap3,Aamp,Kif15,M6pr,Vps33a,Abhd4,Shoc2,Atg9a,Ubiad1,Coa5,Nsmf,Mpv17,Gle1,Rell1,Cdadc1,Ccdc12,Mturn,Il6st,Grk4,Gpatch11,Bag5,Chmp7,Hk1os,Brd8,Dgkz,Necap2,Mcoln1,Ttc1,Tmx1,Adgrg3,Scamp2,Snf8,Ipo9,Unc50,Gosr1,Pitpnb,Serhl,Cox15,Pepd,Golga7,Scarb1,Kiz,Supt4a,A930006K02Rik,Eapp,Ints9,Setdb2,Aars2,Anapc10,Rnf220,Dad1,Cyb5r4,Sugct,Gba1,Washc1,Prkrip1,Cggbp1,Gfm2,Eif2ak1,Eprs1,Rpl7l1,Ppdpf,Cpt2,Recql5,Dcp1a,Sf3a3,Srsf7,Coro7,Aff1,Cgas,LOC118568483,Ctdsp1,Pomp,Aasdhppt,Mcm2,Uqcr11,Pnkd,Miga2,Adrb2,Arf4,Clcc1"
"CARM1_TARGET_GENES",0.311224489795918,0.909622293299006,0.0965629554309422,0.356342585098038,1.05160435978751,97,"Tmem176b,Iscu,Tmem176a,Mfng,Arhgef4,Rsad2,Irf3,Dctn1,Cuedc2,Erlin2,Gstt1,Phb1,Tmc6,Slc25a25,Cdk4,Map3k8,Tle1,Irag2,Hes6,Yars1,4933421O10Rik,Sec11a,Mgat1,Man2c1,Rnf122,Dcaf12,Eno1,Zfp329,0610038B21Rik,Tceanc,Mia2"
