"pathway","pval","padj","log2err","ES","NES","size","genes"
"GOBP_4_HYDROXYPROLINE_METABOLIC_PROCESS",0.0352595765373435,0.826718059315682,0.321775918075361,0.829909705639717,1.69100953489042,10,"Prdx4,Egln1,Egln3,Egln2,P4htm"
"GOBP_ACETYLCHOLINE_SECRETION",0.0815109343936382,0.826718059315682,0.222056046145248,-0.922842446180225,-1.34992899539676,2,"Adora2a,Cacna1a"
"GOBP_ACETYLCHOLINE_TRANSPORT",0.0523012552301255,0.826718059315682,0.287857117255149,-0.86676109204516,-1.49257071984615,4,"Adora2a,Cacna1a"
"GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS",0.0742115027829314,0.826718059315682,0.224966093540314,0.641608226636513,1.46402169429243,18,"Pdhx,Mpc1,Pdk3,Acat1,Pdha1,Pdhb,Dld,Dlat,Mpc2,Acss2,Ppcs"
"GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE",0.0138956446731129,0.826718059315682,0.380730400722792,0.831317933501004,1.72583676918656,11,"Pdhx,Mpc1,Pdk3,Pdha1,Pdhb,Dld,Dlat,Mpc2"
"GOBP_ACTIN_FILAMENT_NETWORK_FORMATION",0.0466417910447761,0.826718059315682,0.287857117255149,0.765850280872049,1.54832698049023,9,"Espn,Arpc5,Lcp1"
"GOBP_ACTIVATED_T_CELL_PROLIFERATION",0.0177123065710746,0.826718059315682,0.352487857583619,-0.645964995058552,-1.75702002461917,43,"Il2ra,Itgax,Tnfsf4,Laptm5,Casp3,Rps3,Itgam,Crtam"
"GOBP_ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS",0.0461363588358665,0.826718059315682,0.321775918075361,-0.748594519580177,-1.66123138436661,14,"Il2ra,Tnfsf4"
"GOBP_ACTIVATION_OF_MEIOSIS",0.0874751491053678,0.826718059315682,0.213927855492356,-0.921147002652321,-1.34744890967048,2,"Camk2b"
"GOBP_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY",0.0825515947467167,0.826718059315682,0.213927855492356,0.695967953941271,1.41809215881586,10,"Insr,Notch2"
"GOBP_ADENYLATE_CYCLASE_INHIBITING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY",0.0496201651674785,0.826718059315682,0.321775918075361,0.931333905941189,1.4508084469361,3,"Prmt5,Flna,Adcy5"
"GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",0.0677966101694915,0.826718059315682,0.252961123069611,-0.575666152340523,-1.48785840581292,31,"P2ry12,Ptgdr2,Itgb3,Psap"
"GOBP_ADRENAL_GLAND_DEVELOPMENT",0.0895522388059701,0.826718059315682,0.204294756516886,0.663765220462872,1.43495514623393,14,"Insr,Ly6e,Smad2"
"GOBP_ALPHA_BETA_T_CELL_PROLIFERATION",0.0565610859728507,0.826718059315682,0.287857117255149,-0.547298512623815,-1.52433472998095,48,"Il2ra,Tnfsf4,Ccr2,Cd80,Sh3rf1,Ptpn22,Cd28,Cd44,Ptprc,Cd3e,Slc4a2,Prkcq,Tnfrsf14,Card11,Myc"
"GOBP_AMIDE_BIOSYNTHETIC_PROCESS",0.0896551724137931,0.826718059315682,0.195789002148949,0.438640824279543,1.32033350608676,107,"Mgst2,Sgms1,Degs1,Nfe2l2,Pdhx,Cers5,Elovl1,B4galt3,Mpc1,Gclc,Pdk3,Asl,Cers4,Asah1,Prkcd,Acat1,Gclm,Cers2,St6galnac6,St6galnac3,Pdha1,Pdhb,Dld,Ormdl2,St6galnac4,Vapa,B3galt4,Pla2g6,Acsl5,Dlat,Gba1,Gss,St3gal1,Sirt3,Mpc2"
"GOBP_AMINO_ACID_NEUROTRANSMITTER_REUPTAKE",0.0163234904126831,0.826718059315682,0.352487857583619,0.922769687296281,1.61859818090001,5,"Itgb1,Cln8"
"GOBP_AMINO_SUGAR_METABOLIC_PROCESS",0.0605449702054727,0.826718059315682,0.321775918075361,0.614868134250646,1.62767393644677,36,"St6gal1,Chst2,Hexb,Uap1,Gnpda1,Extl2,Dpagt1"
"GOBP_AMP_BIOSYNTHETIC_PROCESS",0.0879828326180258,0.826718059315682,0.222056046145248,-0.654855234800111,-1.47991637684414,15,"Prps2,Hprt1,Adss2,Ada,Paics,Ppat"
"GOBP_AMYLOID_BETA_CLEARANCE",0.0127103034649807,0.826718059315682,0.380730400722792,0.756169129283352,1.92483464695626,31,"Ldlr,Insr,Cyp51,Lrpap1,Rab5a,Hmgcr"
"GOBP_AMYLOID_BETA_CLEARANCE_BY_CELLULAR_CATABOLIC_PROCESS",0.0188103564401909,0.826718059315682,0.352487857583619,0.926429001570232,1.67491606256331,6,"Ldlr,Ide"
"GOBP_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS",0.0786516853932584,0.826718059315682,0.219250346703755,0.648120158353492,1.44312341415577,16,"Fbxo31,Cul3,Cdc23,Cdc16,Anapc10,Anapc11,Anapc4,Fzr1"
