ens_gene	Symbol	Uniq_syms	entrez	Gene_name	NTC2	NTC3	NTC4	NTC5	sgUgcg1	sgUgcg2	sgUgcg5
ENSMUSG00000098104.1	NA	ENSMUSG00000098104.1	NA	NA	238	174	171	185	130	170	200
ENSMUSG00000102175.1	NA	ENSMUSG00000102175.1	NA	NA	6	2	2	3	5	8	5
Gm2053	Gm2053	Gm2053	100039121	transforming, acidic coiled-coil containing protein 3 pseudogene	4	4	7	1	2	6	5
Gm6123	Gm6123	Gm6123	620009	pyruvate dehydrogenase (lipoamide) beta pseudogene	41	43	19	23	42	24	42
Mrpl15	Mrpl15	Mrpl15	27395	mitochondrial ribosomal protein L15	1906	1646	1461	1657	1413	1822	1813
ENSMUSG00000102275.1	NA	ENSMUSG00000102275.1	NA	NA	9	13	15	4	5	2	9
Lypla1	Lypla1	Lypla1	18777	lysophospholipase 1	3247	2900	2830	3241	2175	3364	3568
Tcea1	Tcea1	Tcea1	21399	transcription elongation factor A (SII) 1	2815	1808	1936	2339	1774	2435	2598
ENSMUSG00000062588.4	NA	ENSMUSG00000062588.4	NA	NA	10	6	4	9	3	6	6
ENSMUSG00000103280.1	NA	ENSMUSG00000103280.1	NA	NA	6	4	4	4	3	3	7
Rgs20	Rgs20	Rgs20	58175	regulator of G-protein signaling 20	3	3	3	0	0	3	0
ENSMUSG00000102653.1	NA	ENSMUSG00000102653.1	NA	NA	3	3	0	5	1	1	6
Atp6v1h	Atp6v1h	Atp6v1h	108664	ATPase, H+ transporting, lysosomal V1 subunit H	3244	2749	2481	3205	2428	3762	3555
Rb1cc1	Rb1cc1	Rb1cc1	12421	RB1-inducible coiled-coil 1	4018	3938	3236	4158	2959	3488	3938
ENSMUSG00000090031.2	NA	ENSMUSG00000090031.2	NA	NA	222	131	232	211	254	127	278
St18	St18	St18	240690	suppression of tumorigenicity 18	1	0	6	3	3	0	1
ENSMUSG00000102135.1	NA	ENSMUSG00000102135.1	NA	NA	11	8	4	7	7	11	14
Pcmtd1	Pcmtd1	Pcmtd1	319263	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	2011	1997	1846	2257	1553	2032	2393
ENSMUSG00000098201.1	NA	ENSMUSG00000098201.1	NA	NA	2	5	5	1	1	0	0
ENSMUSG00000103509.1	NA	ENSMUSG00000103509.1	NA	NA	18	24	43	39	24	20	16
ENSMUSG00000048538.7	NA	ENSMUSG00000048538.7	NA	NA	0	6	0	4	7	6	1
ENSMUSG00000097797.6	NA	ENSMUSG00000097797.6	NA	NA	17	6	9	22	7	13	16
ENSMUSG00000084353.1	NA	ENSMUSG00000084353.1	NA	NA	1	3	3	1	2	3	1
ENSMUSG00000103933.1	NA	ENSMUSG00000103933.1	NA	NA	1	2	1	1	4	1	6
ENSMUSG00000076135.1	NA	ENSMUSG00000076135.1	NA	NA	4	3	4	4	4	6	5
Rrs1	Rrs1	Rrs1	59014	ribosome biogenesis regulator 1	821	756	772	833	568	969	1022
Adhfe1	Adhfe1	Adhfe1	76187	alcohol dehydrogenase, iron containing, 1	4	10	9	21	7	12	8
ENSMUSG00000079671.8	NA	ENSMUSG00000079671.8	NA	NA	9	1	2	5	0	3	3
Mybl1	Mybl1	Mybl1	17864	myeloblastosis oncogene-like 1	19	20	23	33	13	19	32
Vcpip1	Vcpip1	Vcpip1	70675	valosin containing protein (p97)/p47 complex interacting protein 1	1559	2009	1558	1781	1387	1858	1787
ENSMUSG00000097893.8	NA	ENSMUSG00000097893.8	NA	NA	5	5	0	3	1	1	2
Sgk3	Sgk3	Sgk3	170755	serum/glucocorticoid regulated kinase 3	577	479	437	505	482	632	660
Gm6195	Gm6195	Gm6195	108167613	predicted pseudogene 6195	4	5	1	5	4	0	5
Mcmdc2	Mcmdc2	Mcmdc2	240697	minichromosome maintenance domain containing 2	11	17	9	10	11	10	20
Snhg6	Snhg6	Snhg6	73824	small nucleolar RNA host gene 6	549	407	389	430	303	409	485
Snord87	Snord87	Snord87	266793	small nucleolar RNA, C/D box 87	9	5	4	6	5	17	13
Cops5	Cops5	Cops5	26754	COP9 signalosome subunit 5	1738	1414	1399	1569	1168	1677	1829
Cspp1	Cspp1	Cspp1	211660	centrosome and spindle pole associated protein 1	1548	1859	1456	1759	1339	1671	1720
ENSMUSG00000102356.1	NA	ENSMUSG00000102356.1	NA	NA	1	7	0	1	2	3	4
Arfgef1	Arfgef1	Arfgef1	211673	ADP ribosylation factor guanine nucleotide exchange factor 1	3629	3902	3470	4314	2848	3318	3668
ENSMUSG00000088153.1	NA	ENSMUSG00000088153.1	NA	NA	3	11	6	4	6	7	4
ENSMUSG00000102556.1	NA	ENSMUSG00000102556.1	NA	NA	34	34	34	35	18	28	11
ENSMUSG00000103825.1	NA	ENSMUSG00000103825.1	NA	NA	3	1	2	3	0	1	2
Prdm14	Prdm14	Prdm14	383491	PR domain containing 14	3	6	1	0	0	1	1
Ncoa2	Ncoa2	Ncoa2	17978	nuclear receptor coactivator 2	2699	3383	2734	3176	2358	2682	3004
ENSMUSG00000103506.1	NA	ENSMUSG00000103506.1	NA	NA	106	169	83	115	74	131	73
ENSMUSG00000103495.1	NA	ENSMUSG00000103495.1	NA	NA	54	83	54	43	35	28	28
ENSMUSG00000099183.1	NA	ENSMUSG00000099183.1	NA	NA	2	0	1	1	4	0	3
ENSMUSG00000102639.1	NA	ENSMUSG00000102639.1	NA	NA	11	21	9	7	7	10	34
ENSMUSG00000104170.1	NA	ENSMUSG00000104170.1	NA	NA	9	33	28	17	10	13	22
ENSMUSG00000103085.1	NA	ENSMUSG00000103085.1	NA	NA	254	358	319	374	228	240	162
ENSMUSG00000102664.1	NA	ENSMUSG00000102664.1	NA	NA	373	551	454	553	345	437	439
Tram1	Tram1	Tram1	72265	translocating chain-associating membrane protein 1	24963	19153	18639	22104	17210	24131	28944
