ens_gene	Symbol	Uniq_syms	entrez	Gene_name	NTC2	NTC3	NTC4	NTC5	sgUgcg1	sgUgcg2	sgUgcg5
ENSMUSG00000098104.1	NA	ENSMUSG00000098104.1	NA	NA	8.981753258190222	8.818139318540288	8.844277691371799	8.803477435564744	8.772592606808088	8.74705907177833	8.788979118139485
ENSMUSG00000102175.1	NA	ENSMUSG00000102175.1	NA	NA	7.661796938702682	7.556271972037054	7.560831985692138	7.583888520304312	7.677344587022008	7.7007666324070385	7.626195572137791
Gm2053	Gm2053	Gm2053	100039121	transforming, acidic coiled-coil containing protein 3 pseudogene	7.613463113237675	7.621777151742688	7.702351545120519	7.505312127908485	7.57478628269644	7.6603045785947295	7.626195572137791
Gm6123	Gm6123	Gm6123	620009	pyruvate dehydrogenase (lipoamide) beta pseudogene	8.08233702120659	8.125042008681811	7.8979384862516655	7.910608095264758	8.198828638282093	7.920611291985436	8.05464862308411
Mrpl15	Mrpl15	Mrpl15	27395	mitochondrial ribosomal protein L15	11.051217186067053	10.964492795946237	10.88881334480023	10.871191057657787	11.048561124448861	10.982046695450128	10.858769221809302
ENSMUSG00000102275.1	NA	ENSMUSG00000102275.1	NA	NA	7.720891747974038	7.8006304254495555	7.842655165352129	7.612618131970903	7.677344587022008	7.5495205457861125	7.703950595826265
Lypla1	Lypla1	Lypla1	18777	lysophospholipase 1	11.727976409855257	11.679471938392448	11.721683435399418	11.715290272627884	11.593357891092593	11.759390858378637	11.709845965449947
Tcea1	Tcea1	Tcea1	21399	transcription elongation factor A (SII) 1	11.542757994991446	11.079598780251365	11.235397286246402	11.296518573895007	11.33254591578518	11.342935668223467	11.302476649406353
ENSMUSG00000062588.4	NA	ENSMUSG00000062588.4	NA	NA	7.738286905345906	7.671964834603113	7.628216026979149	7.719628642933841	7.6144823909713955	7.6603045785947295	7.647937274488124
ENSMUSG00000103280.1	NA	ENSMUSG00000103280.1	NA	NA	7.661796938702682	7.621777151742688	7.628216026979149	7.612618131970903	7.6144823909713955	7.583563355273484	7.6679183690657835
Rgs20	Rgs20	Rgs20	58175	regulator of G-protein signaling 20	7.584620802933788	7.591826178589835	7.597406715023054	7.397857456800622	7.397857456800622	7.583563355273484	7.397857456800622
ENSMUSG00000102653.1	NA	ENSMUSG00000102653.1	NA	NA	7.584620802933788	7.591826178589835	7.397857456800622	7.637911923821117	7.523004203990874	7.505124134298419	7.647937274488124
Atp6v1h	Atp6v1h	Atp6v1h	108664	ATPase, H+ transporting, lysosomal V1 subunit H	11.726769216368288	11.610046543017667	11.550921842430416	11.700722323794608	11.736427392907688	11.906450115683334	11.705085533991815
Rb1cc1	Rb1cc1	Rb1cc1	12421	RB1-inducible coiled-coil 1	12.008770602836	12.082974090473368	11.89772480066758	12.043873420337368	11.997076450455248	11.80684326325233	11.839113132974802
ENSMUSG00000090031.2	NA	ENSMUSG00000090031.2	NA	NA	8.932233116273277	8.641699238090828	9.06052592969632	8.891482186519466	9.26083143348658	8.57411823134172	9.01607351185543
St18	St18	St18	240690	suppression of tumorigenicity 18	7.505735499194162	7.397857456800622	7.679838674453724	7.583888520304312	7.6144823909713955	7.397857456800622	7.500058611746734
ENSMUSG00000102135.1	NA	ENSMUSG00000102135.1	NA	NA	7.75482054875987	7.714211486746557	7.628216026979149	7.681763189551647	7.728345360807738	7.752806814393295	7.779227755410896
Pcmtd1	Pcmtd1	Pcmtd1	319263	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	11.117429131183396	11.203101089834856	11.175875926334964	11.251598641841634	11.165489942733975	11.116210589234218	11.199249350245118
ENSMUSG00000098201.1	NA	ENSMUSG00000098201.1	NA	NA	7.550384546626189	7.6481446577751555	7.65533799180345	7.505312127908485	7.523004203990874	7.397857456800622	7.397857456800622
ENSMUSG00000103509.1	NA	ENSMUSG00000103509.1	NA	NA	7.853752638581849	7.94363678575999	8.145545395003586	8.063156019677173	8.006614791506191	7.875494740462688	7.805391237676885
ENSMUSG00000048538.7	NA	ENSMUSG00000048538.7	NA	NA	7.397857456800622	7.671964834603113	7.397857456800622	7.612618131970903	7.728345360807738	7.6603045785947295	7.500058611746734
ENSMUSG00000097797.6	NA	ENSMUSG00000097797.6	NA	NA	7.841009397746064	7.671964834603113	7.742939273881232	7.899450868398276	7.728345360807738	7.783552420143371	7.805391237676885
ENSMUSG00000084353.1	NA	ENSMUSG00000084353.1	NA	NA	7.505735499194162	7.591826178589835	7.597406715023054	7.505312127908485	7.57478628269644	7.583563355273484	7.500058611746734
ENSMUSG00000103933.1	NA	ENSMUSG00000103933.1	NA	NA	7.505735499194162	7.556271972037054	7.5131284717799725	7.505312127908485	7.647916299609751	7.505124134298419	7.647937274488124
ENSMUSG00000076135.1	NA	ENSMUSG00000076135.1	NA	NA	7.613463113237675	7.591826178589835	7.628216026979149	7.612618131970903	7.647916299609751	7.6603045785947295	7.626195572137791
Rrs1	Rrs1	Rrs1	59014	ribosome biogenesis regulator 1	10.084312431859257	10.077290551951894	10.159916511951232	10.09132376775977	10.00977028774646	10.25000924485246	10.202698097080477
Adhfe1	Adhfe1	Adhfe1	76187	alcohol dehydrogenase, iron containing, 1	7.613463113237675	7.751375943331003	7.742939273881232	7.888029365738744	7.728345360807738	7.7685055287472125	7.686504742372358
ENSMUSG00000079671.8	NA	ENSMUSG00000079671.8	NA	NA	7.720891747974038	7.509901557041757	7.560831985692138	7.637911923821117	7.397857456800622	7.583563355273484	7.574801141964921
Mybl1	Mybl1	Mybl1	17864	myeloblastosis oncogene-like 1	7.866138098159673	7.8965730076062925	7.947494793213029	8.01066295076087	7.847401071993172	7.863505913840778	7.972312888424482
Vcpip1	Vcpip1	Vcpip1	70675	valosin containing protein (p97)/p47 complex interacting protein 1	10.807504081073104	11.2105931070605	10.966772378281325	10.958574372559452	11.025748554945002	11.005962460973723	10.841419080358042
ENSMUSG00000097893.8	NA	ENSMUSG00000097893.8	NA	NA	7.638855987923481	7.6481446577751555	7.397857456800622	7.583888520304312	7.523004203990874	7.505124134298419	7.542361526480977
Sgk3	Sgk3	Sgk3	170755	serum/glucocorticoid regulated kinase 3	9.728089713878052	9.62336086913367	9.590868023307332	9.594682558903882	9.84293558076915	9.80574734478516	9.753472653624682
