"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","BP","GO:0002181","cytoplasmic translation","8/134","153/28905",0.0522875816993464,11.2788996195493,8.69985882734019,6.08107889534767e-07,0.00136155356466834,0.00115348464941226,"Ybx1/Rpl30/Rpl27a/Rps2/Rpl41/Eif4ebp1/Rps4x/Rpsa",8
"GO:0032102","BP","GO:0032102","negative regulation of response to external stimulus","12/134","470/28905",0.025531914893617,5.50746268656716,6.72370031210248,2.08763501578111e-06,0.00224630235157479,0.00190302853131698,"Il2ra/Serpine2/Anxa5/Serpinb9b/Clec2d/Ier3/Ldlr/Klrd1/St6gal1/Sema7a/Pros1/Cst7",12
"GO:0042269","BP","GO:0042269","regulation of natural killer cell mediated cytotoxicity","6/134","87/28905",0.0689655172413793,14.8764796706125,8.846284584929,3.29203764706661e-06,0.00224630235157479,0.00190302853131698,"Serpinb9b/Clec2d/Klrc2/Klrb1c/Klrd1/Klrc1",6
"GO:0002715","BP","GO:0002715","regulation of natural killer cell mediated immunity","6/134","90/28905",0.0666666666666667,14.3805970149254,8.6764352261739,4.01304573751638e-06,0.00224630235157479,0.00190302853131698,"Serpinb9b/Clec2d/Klrc2/Klrb1c/Klrd1/Klrc1",6
"GO:0031341","BP","GO:0031341","regulation of cell killing","7/134","153/28905",0.0457516339869281,9.86903716710565,7.50657892810859,7.59058843436012e-06,0.00288367388449045,0.00244299867885183,"Serpinb9b/Clec2d/Klrc2/Klrb1c/Klrd1/Klrc1/Ccr5",7
"GO:0001906","BP","GO:0001906","cell killing","9/134","285/28905",0.0315789473684211,6.81186174391202,6.72909693841703,7.72757628715619e-06,0.00288367388449045,0.00244299867885183,"Serpinb9b/Clec2d/Klrc2/Klrb1c/Klrd1/Gzmb/Rpl30/Klrc1/Ccr5",9
"GO:0042267","BP","GO:0042267","natural killer cell mediated cytotoxicity","6/134","108/28905",0.0555555555555556,11.9838308457711,7.80451618361341,1.15213929601552e-05,0.00335328157096768,0.00284084219500424,"Serpinb9b/Clec2d/Klrc2/Klrb1c/Klrd1/Klrc1",6
"GO:0019646","BP","GO:0019646","aerobic electron transport chain","5/134","64/28905",0.078125,16.8522621268657,8.66422994415456,1.21610661437782e-05,0.00335328157096768,0.00284084219500424,"ND3/ND5/CYTB/COX1/ND4",5
"GO:0002228","BP","GO:0002228","natural killer cell mediated immunity","6/134","111/28905",0.0540540540540541,11.6599435256152,7.67925851717653,1.34790237332332e-05,0.00335328157096768,0.00284084219500424,"Serpinb9b/Clec2d/Klrc2/Klrb1c/Klrd1/Klrc1",6
"GO:0001909","BP","GO:0001909","leukocyte mediated cytotoxicity","7/134","179/28905",0.0391061452513966,8.43554573501209,6.81013437961044,2.10393908801941e-05,0.00463829122202119,0.00392948016364552,"Serpinb9b/Clec2d/Klrc2/Klrb1c/Klrd1/Gzmb/Klrc1",7
"GO:0002223","BP","GO:0002223","stimulatory C-type lectin receptor signaling pathway","3/134","13/28905",0.230769230769231,49.7789896670494,12.0052046775927,2.69306770371932e-05,0.00463829122202119,0.00392948016364552,"Klrc2/Klrd1/Klrc1",3
"GO:1990840","BP","GO:1990840","response to lectin","3/134","13/28905",0.230769230769231,49.7789896670494,12.0052046775927,2.69306770371932e-05,0.00463829122202119,0.00392948016364552,"Klrc2/Klrd1/Klrc1",3
"GO:1990858","BP","GO:1990858","cellular response to lectin","3/134","13/28905",0.230769230769231,49.7789896670494,12.0052046775927,2.69306770371932e-05,0.00463829122202119,0.00392948016364552,"Klrc2/Klrd1/Klrc1",3
"GO:0071402","BP","GO:0071402","cellular response to lipoprotein particle stimulus","4/134","39/28905",0.102564102564103,22.1239954075775,9.00884177251463,3.20227955881844e-05,0.00512135995156749,0.00433872764285025,"Itgb1/Abcg1/Ldlr/Cd68",4
"GO:0042775","BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport","5/134","80/28905",0.0625,13.4818097014925,7.62942463757243,3.61357634946428e-05,0.0053788143958862,0.00455683859871039,"ND3/ND5/CYTB/COX1/ND4",5
"GO:0042773","BP","GO:0042773","ATP synthesis coupled electron transport","5/134","82/28905",0.0609756097560976,13.1529850746269,7.52097586138712,4.0711264715599e-05,0.0053788143958862,0.00455683859871039,"ND3/ND5/CYTB/COX1/ND4",5
"GO:0001910","BP","GO:0001910","regulation of leukocyte mediated cytotoxicity","6/134","135/28905",0.0444444444444444,9.58706467661692,6.82488883983473,4.08395912148572e-05,0.0053788143958862,0.00455683859871039,"Serpinb9b/Clec2d/Klrc2/Klrb1c/Klrd1/Klrc1",6
"GO:1903978","BP","GO:1903978","regulation of microglial cell activation","3/134","17/28905",0.176470588235294,38.0662862159789,10.4327474139293,6.3166727913381e-05,0.00785723909989223,0.00665651717543349,"Ldlr/Cst7/Kcnn4",3
"GO:0043235","CC","GO:0043235","receptor complex","11/136","418/28618",0.0263157894736842,5.5375386996904,6.45773461885209,5.38164895832626e-06,0.000799657335045124,0.000595233655409529,"Itgb1/Ighm/Trat1/Klrc2/Ldlr/Itgax/Klrd1/Insr/Klrc1/Htra2/Cd8b1",11
"GO:0034506","CC","GO:0034506","chromosome, centromeric core domain","4/136","25/28618",0.16,33.6682352941177,11.2917715220414,5.71183810746517e-06,0.000799657335045124,0.000595233655409529,"H4c4/H2ac8/Rcc2/H4c14",4
"GO:1990204","CC","GO:1990204","oxidoreductase complex","6/136","125/28618",0.048,10.1004705882353,7.04605506307705,3.04280461496111e-05,0.00283995097396371,0.00211394846934141,"ND3/ND5/CYTB/Ncf4/COX1/ND4",6
"GO:0022626","CC","GO:0022626","cytosolic ribosome","6/136","142/28618",0.0422535211267606,8.89125932062966,6.51399259067748,6.21376957752717e-05,0.00340509418845752,0.00253461898238568,"Rpl30/Rpl27a/Rps2/Rpl41/Rps4x/Rpsa",6
"GO:0044291","CC","GO:0044291","cell-cell contact zone","5/136","91/28618",0.0549450549450549,11.5618939883646,6.97317740203917,7.54366979267988e-05,0.00340509418845752,0.00253461898238568,"Itgb1/Anxa5/Atp1a1/Tjp2/Pkp4",5
"GO:0044391","CC","GO:0044391","ribosomal subunit","7/136","216/28618",0.0324074074074074,6.81937636165577,5.9323275799937,8.11113087726763e-05,0.00340509418845752,0.00253461898238568,"Mrpl40/Rpl30/Rpl27a/Rps2/Rpl41/Rps4x/Rpsa",7
"GO:0005746","CC","GO:0005746","mitochondrial respirasome","5/136","95/28618",0.0526315789473684,11.0750773993808,6.79686834526215,9.25718182050671e-05,0.00340509418845752,0.00253461898238568,"ND3/ND5/CYTB/COX1/ND4",5
"GO:0098803","CC","GO:0098803","respiratory chain complex","5/136","96/28618",0.0520833333333333,10.9597120098039,6.75442952082864,9.72884053845007e-05,0.00340509418845752,0.00253461898238568,"ND3/ND5/CYTB/COX1/ND4",5
"GO:0070469","CC","GO:0070469","respirasome","5/136","103/28618",0.0485436893203883,10.2148772130211,6.47392616476012,0.000135685324797111,0.00422132121591011,0.00314218646898572,"ND3/ND5/CYTB/COX1/ND4",5
"GO:0010008","CC","GO:0010008","endosome membrane","8/136","329/28618",0.0243161094224924,5.11675308421241,5.18967588759433,0.000184433802358873,0.00460797886081381,0.00342999930241028,"Ncf4/Ehd3/Ldlr/Chmp4b/Pi4k2b/Rcc2/Igf2r/Cd68",8
"GO:0043505","CC","GO:0043505","CENP-A containing nucleosome","3/136","24/28618",0.125,26.3033088235294,8.56922893073279,0.000197484808320592,0.00460797886081381,0.00342999930241028,"H4c4/H2ac8/H4c14",3
"GO:0061638","CC","GO:0061638","CENP-A containing chromatin","3/136","24/28618",0.125,26.3033088235294,8.56922893073279,0.000197484808320592,0.00460797886081381,0.00342999930241028,"H4c4/H2ac8/H4c14",3
"GO:0005840","CC","GO:0005840","ribosome","7/136","270/28618",0.0259259259259259,5.45550108932462,5.08292251287248,0.000319289658389588,0.00687700802685266,0.00511897589968732,"Mrpl40/Rpl30/Rpl27a/Rps2/Rpl41/Rps4x/Rpsa",7
"GO:0098802","CC","GO:0098802","plasma membrane signaling receptor complex","6/136","198/28618",0.0303030303030303,6.37655971479501,5.24591557354141,0.000379202506412736,0.00758405012825473,0.00564527039621969,"Itgb1/Ighm/Trat1/Itgax/Insr/Htra2",6
"GO:0015399","MF","GO:0015399","primary active transmembrane transporter activity","9/130","142/28396",0.0633802816901408,13.8442036836403,10.4057124652697,1.99673398820876e-08,7.2281770373157e-06,6.01122021713373e-06,"ND3/ND5/CYTB/Anxa5/Atp1a1/Abcg1/Abcb1a/COX1/ND4",9
"GO:0015453","MF","GO:0015453","oxidoreduction-driven active transmembrane transporter activity","5/130","34/28396",0.147058823529412,32.1221719457014,12.3140628348375,4.65568762273149e-07,8.42679459714401e-05,7.00803505316425e-05,"ND3/ND5/CYTB/COX1/ND4",5
"GO:0009055","MF","GO:0009055","electron transfer activity","5/130","50/28396",0.1,21.8430769230769,10.0037165437047,3.34311249852931e-06,0.000403402241489204,0.00033548427178224,"ND3/ND5/CYTB/COX1/ND4",5
