Sample	total_reads	Human counts	Human percentage	Mouse counts	Mouse percentage	Rat counts	Rat percentage	Drosophila counts	Drosophila percentage	Worm counts	Worm percentage	Yeast counts	Yeast percentage	ERCC counts	ERCC percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Vectors counts	Vectors percentage	SILVA_eukaryota counts	SILVA_eukaryota percentage	Rabbit counts	Rabbit percentage	No hits counts	No hits percentage
NTC2_R1_screen	99961	10817.0	10.82	89172.0	89.2	29780.0	29.79	2858.0	2.85	2532.0	2.53	2538.0	2.54	1409.0	1.41	0.0	0.0	0.0	0.0	1840.0	1.84	3780.0	3.78	9416.0	9.42	10325	10.33
NTC2_R2_screen	99961	14108.0	14.120000000000001	91402.0	91.43	37401.0	37.42	3355.0	3.36	2937.0	2.94	2974.0	2.98	1615.0	1.62	0.0	0.0	0.0	0.0	2088.0	2.0999999999999996	4037.0	4.04	11980.0	11.98	8196	8.2
NTC3_R1_screen	100055	11207.0	11.2	90692.0	90.64	29449.0	29.43	2866.0	2.8600000000000003	2506.0	2.5	2536.0	2.54	1331.0	1.33	0.0	0.0	0.0	0.0	1713.0	1.71	4490.0	4.4799999999999995	9964.0	9.95	8784	8.78
NTC3_R2_screen	100055	13981.0	13.969999999999999	92624.0	92.57000000000001	36511.0	36.49	3410.0	3.4	2870.0	2.87	2980.0	2.9699999999999998	1468.0	1.46	0.0	0.0	0.0	0.0	1901.0	1.9000000000000001	4712.0	4.7	12161.0	12.149999999999999	6953	6.95
NTC4_R1_screen	99987	11396.0	11.41	91336.0	91.36000000000001	30029.0	30.03	2885.0	2.89	2514.0	2.52	2537.0	2.53	1268.0	1.27	0.0	0.0	0.0	0.0	1669.0	1.6700000000000002	4556.0	4.56	10133.0	10.14	8068	8.07
NTC4_R2_screen	99987	14827.0	14.84	94548.0	94.56	38062.0	38.07	3622.0	3.62	3094.0	3.09	3180.0	3.18	1539.0	1.54	0.0	0.0	1.0	0.0	2023.0	2.02	4989.0	5.0	12672.0	12.669999999999998	4989	4.99
NTC5_R1_screen	100044	11015.0	11.01	89962.0	89.92	29247.0	29.24	2762.0	2.7600000000000002	2429.0	2.4299999999999997	2499.0	2.5	1301.0	1.3	0.0	0.0	0.0	0.0	1690.0	1.69	4323.0	4.319999999999999	9722.0	9.709999999999999	9484	9.48
NTC5_R2_screen	100044	14283.0	14.27	92583.0	92.53999999999999	36968.0	36.94	3372.0	3.37	2893.0	2.89	2967.0	2.97	1478.0	1.47	0.0	0.0	0.0	0.0	1975.0	1.97	4672.0	4.67	12295.0	12.28	6993	6.99
sgUgcg1_R1_screen	100123	10550.0	10.530000000000001	91073.0	90.97	29244.0	29.209999999999997	2525.0	2.52	2168.0	2.17	2163.0	2.16	1106.0	1.1	0.0	0.0	0.0	0.0	1509.0	1.5	3483.0	3.47	9156.0	9.14	8600	8.59
sgUgcg1_R2_screen	100123	13751.0	13.74	93083.0	92.96000000000001	37197.0	37.15	3056.0	3.05	2610.0	2.61	2615.0	2.61	1312.0	1.31	0.0	0.0	0.0	0.0	1775.0	1.77	3752.0	3.75	11550.0	11.530000000000001	6658	6.65
sgUgcg2_R1_screen	99999	10408.0	10.41	90185.0	90.19	29369.0	29.369999999999997	2535.0	2.54	2185.0	2.19	2186.0	2.1799999999999997	1158.0	1.16	0.0	0.0	0.0	0.0	1487.0	1.48	3303.0	3.31	9002.0	9.0	9419	9.42
sgUgcg2_R2_screen	99999	13289.0	13.29	92019.0	92.02	36549.0	36.55	2969.0	2.97	2534.0	2.54	2542.0	2.54	1322.0	1.32	0.0	0.0	0.0	0.0	1735.0	1.74	3589.0	3.59	11262.0	11.27	7649	7.65
sgUgcg5_R1_screen	99939	10366.0	10.379999999999999	87342.0	87.39	28774.0	28.79	2843.0	2.8400000000000003	2541.0	2.54	2524.0	2.5300000000000002	1452.0	1.45	0.0	0.0	0.0	0.0	1897.0	1.9000000000000001	3575.0	3.5900000000000003	9061.0	9.06	12172	12.18
sgUgcg5_R2_screen	99939	13476.0	13.489999999999998	89881.0	89.92999999999999	36302.0	36.33	3422.0	3.4200000000000004	3027.0	3.0300000000000002	2990.0	2.99	1718.0	1.72	0.0	0.0	0.0	0.0	2179.0	2.18	3945.0	3.95	11553.0	11.559999999999999	9724	9.73
