Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	SortMeRNA_mqc-generalstats-sortmerna-rRNA_pct	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
NTC2	44.48336538359505	20498961	83.66	38550882.0							
NTC2._STARpass1			83.94	38680430.0							
NTC2_R1						39.405667012852966	49.0	70.20796992650563	74	27.27272727272727	46082307.0
NTC2_R2					4.965	46.94504145956254	47.0	70.12600753690565	74	27.27272727272727	46082307.0
NTC3	43.22175317963403	18898406	85.17	37241300.0							
NTC3._STARpass1			85.37	37329108.0							
NTC3_R1						35.560795467199085	49.0	70.68872610473085	74	18.181818181818183	43724293.0
NTC3_R2					5.583	42.57790494586234	47.0	70.59661250554697	74	18.181818181818183	43724293.0
NTC4	43.83810632802706	17138548	85.97	33608995.0							
NTC4._STARpass1			86.16	33682583.0							
NTC4_R1						34.72298576552714	49.0	71.25972093888409	74	18.181818181818183	39095092.0
NTC4_R2					5.819	45.403470199536635	47.0	71.2044778408502	74	18.181818181818183	39095092.0
NTC5	42.93181278265091	19714452	84.91	38988894.0							
NTC5._STARpass1			85.11	39083811.0							
NTC5_R1						37.00581266252658	49.0	70.6323808158299	74	18.181818181818183	45920381.0
NTC5_R2					5.534	44.86957468987502	47.0	70.55246092143705	74	18.181818181818183	45920381.0
sgUgcg1	43.617468761222845	14367869	86.05	28345341.0							
sgUgcg1._STARpass1			86.28	28421092.0							
sgUgcg1_R1						33.30211703417308	50.0	71.44154413561611	74	18.181818181818183	32940630.0
sgUgcg1_R2					4.495	41.140365979258355	47.0	71.33467010193795	74	18.181818181818183	32940630.0
sgUgcg2	44.66710754691615	20010761	85.4	38258030.0							
sgUgcg2._STARpass1			85.8	38438852.0							
sgUgcg2_R1						36.41780293895671	50.0	70.43714703082509	74	27.27272727272727	44799769.0
sgUgcg2_R2					4.4159999999999995	43.54750603285385	47.0	70.34381976389209	74	27.27272727272727	44799769.0
sgUgcg5	43.62336691687992	21842027	83.53	41822464.0							
sgUgcg5._STARpass1			83.76	41936639.0							
sgUgcg5_R1						39.084358878246306	50.0	68.72009942648185	74	27.27272727272727	50069558.0
sgUgcg5_R2					4.74	45.97580565299074	47.0	68.60297592401355	74	27.27272727272727	50069558.0
