Sample	total	rRNA	rRNA_pct	non_rRNA	non_rRNA_pct	rfam-5s-database-id98_pct	rfam-5s-database-id98_count	rfam-5.8s-database-id98_pct	rfam-5.8s-database-id98_count	silva-arc-16s-id95_pct	silva-arc-16s-id95_count	silva-arc-23s-id98_pct	silva-arc-23s-id98_count	silva-bac-16s-id90_pct	silva-bac-16s-id90_count	silva-bac-23s-id98_pct	silva-bac-23s-id98_count	silva-euk-18s-id95_pct	silva-euk-18s-id95_count	silva-euk-28s-id98_pct	silva-euk-28s-id98_count
NTC2_R1																					
NTC2_R2	100000	4965	4.965	95035	95.035	0.26	260.0	0.03	29.999999999999996	0.03	29.999999999999996	0.41	409.99999999999994	0.79	790.0000000000001	0.17	170.0	2.12	2120.0	1.16	1160.0
NTC3_R1																					
NTC3_R2	100000	5583	5.583	94417	94.417	0.3	300.0	0.03	29.999999999999996	0.05	50.0	0.7	699.9999999999999	0.64	640.0	0.22	220.0	2.08	2080.0	1.57	1570.0000000000002
NTC4_R1																					
NTC4_R2	100000	5819	5.819	94181	94.181	0.28	280.00000000000006	0.02	20.0	0.04	40.0	0.71	710.0	0.75	750.0	0.21	210.0	2.16	2160.0	1.65	1650.0
NTC5_R1																					
NTC5_R2	100000	5534	5.534	94466	94.46600000000001	0.29	290.0	0.05	50.0	0.05	50.0	0.62	620.0	0.75	750.0	0.17	170.0	2.17	2170.0	1.42	1420.0
sgUgcg1_R1																					
sgUgcg1_R2	100000	4495	4.495	95505	95.505	0.26	260.0	0.02	20.0	0.03	29.999999999999996	0.43	430.0	0.71	710.0	0.15	150.0	1.81	1810.0000000000002	1.08	1080.0
sgUgcg2_R1																					
sgUgcg2_R2	100000	4416	4.4159999999999995	95584	95.584	0.26	260.0	0.02	20.0	0.02	20.0	0.36	360.0	0.69	690.0	0.16	160.0	1.79	1790.0	1.11	1110.0
sgUgcg5_R1																					
sgUgcg5_R2	100000	4740	4.74	95260	95.26	0.25	250.0	0.01	10.0	0.01	10.0	0.37	370.0	0.74	740.0	0.17	170.0	2.08	2080.0	1.12	1120.0000000000002
