Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
NTC2	46082307.0	141.0	38550882.0	83.66	134.59	16157492.0	16057100.0	15856830.0	171708.0	22959.0	105995.0	0.61	0.01	1.4	0.01	1.43	3889516.0	8.44	138020.0	0.3	0.0	6.76	0.85	0	3112522	391367
NTC2._STARpass1	46082307.0	141.0	38680430.0	83.94	134.56	15840224.0	15536821.0	15642114.0	105066.0	15513.0	77531.0	0.6	0.01	1.4	0.01	1.42	3742319.0	8.12	144006.0	0.31	0.0	6.8	0.83	0	3133126	382426
NTC3	43724293.0	142.0	37241300.0	85.17	135.37	13590635.0	13496848.0	13293146.0	138007.0	49598.0	109884.0	0.58	0.01	1.45	0.01	1.47	3099862.0	7.09	133686.0	0.31	0.0	6.57	0.86	0	2873332	376113
NTC3._STARpass1	43724293.0	142.0	37329108.0	85.37	135.36	13087752.0	12826272.0	12913586.0	89652.0	12969.0	71545.0	0.58	0.01	1.45	0.01	1.47	2984967.0	6.83	139119.0	0.32	0.0	6.63	0.85	0	2899383	371716
NTC4	39095092.0	143.0	33608995.0	85.97	135.79	12830019.0	12745225.0	12551935.0	129771.0	47284.0	101029.0	0.53	0.01	1.45	0.01	1.46	2794792.0	7.15	116327.0	0.3	0.0	5.77	0.82	0	2254571	320407
NTC4._STARpass1	39095092.0	143.0	33682583.0	86.16	135.76	12455409.0	12205512.0	12293452.0	84576.0	12095.0	65286.0	0.52	0.01	1.45	0.01	1.47	2706177.0	6.92	119796.0	0.31	0.0	5.81	0.81	0	2270057	316479
NTC5	45920381.0	142.0	38988894.0	84.91	134.9	15058811.0	14959876.0	14644678.0	292827.0	16206.0	105100.0	0.59	0.01	1.45	0.01	1.45	3360983.0	7.32	124894.0	0.27	0.0	6.66	0.84	0	3059702	385908
NTC5._STARpass1	45920381.0	142.0	39083811.0	85.11	134.85	14421710.0	14133814.0	14232849.0	97904.0	14058.0	76899.0	0.58	0.01	1.45	0.01	1.46	3228678.0	7.03	144326.0	0.31	0.0	6.71	0.83	0	3082298	381268
sgUgcg1	32940630.0	144.0	28345341.0	86.05	135.76	11154555.0	11083321.0	10853267.0	211968.0	12347.0	76973.0	0.6	0.01	1.39	0.01	1.43	2252564.0	6.84	80572.0	0.24	0.0	6.16	0.7	0	2031321	230832
sgUgcg1._STARpass1	32940630.0	144.0	28421092.0	86.28	135.72	10825470.0	10623700.0	10685938.0	73645.0	11387.0	54500.0	0.59	0.01	1.39	0.01	1.43	2158764.0	6.55	90014.0	0.27	0.0	6.2	0.69	0	2043354	227406
sgUgcg2	44799769.0	142.0	38258030.0	85.4	135.1	15111517.0	15012078.0	14842111.0	156468.0	18972.0	93966.0	0.59	0.01	1.38	0.01	1.43	3224228.0	7.2	132685.0	0.3	0.0	6.35	0.76	0	2844395	340431
sgUgcg2._STARpass1	44799769.0	142.0	38438852.0	85.8	135.04	14790331.0	14486901.0	14595672.0	102207.0	15455.0	76997.0	0.58	0.01	1.37	0.01	1.43	3030117.0	6.76	139895.0	0.31	0.0	6.38	0.74	0	2859266	331639
sgUgcg5	50069558.0	138.0	41822464.0	83.53	132.72	16652146.0	16540049.0	16313868.0	145989.0	71095.0	121194.0	0.63	0.01	1.38	0.01	1.42	3822048.0	7.63	158732.0	0.32	0.0	7.56	0.97	0	3781165	485149
sgUgcg5._STARpass1	50069558.0	138.0	41936639.0	83.76	132.74	16193836.0	15870450.0	15981142.0	108812.0	17068.0	86814.0	0.62	0.01	1.38	0.01	1.42	3669368.0	7.33	166686.0	0.33	0.0	7.63	0.95	0	3821105	475760
