common_name	species	org.db	kegg
human	Homo sapiens	org.Hs.eg.db	hsa
mouse	Mus musculus	org.Mm.eg.db	mmu
rat	Rattus norvegicus	org.Rn.eg.db	rno
yeast	Saccharomyces_cerevisiae	org.Sc.sgd.db	sce
fly	Drosophila melanogaster	org.Dm.eg.db	dme
arabidopsis	Arabidopsis thaliana	org.At.tair.db	ath
zebrafish	Danio rerio	org.Dr.eg.db	dre
worm	Caenorhabditis elegans	org.Ce.eg.db	cel
cow	Bos taurus	org.Bt.eg.db	bta
chicken	Gallus gallus	org.Gg.eg.db	gga
canine	Canis familiaris	org.Cf.eg.db	cfa
pig	Sus scrofa	org.Ss.eg.db	ssc
e.coli_K12	Escheridia coli	org.EcK12.eg.db	ecok
e.coli_Sakai	Escheridia coli	org.EcSakai.eg.db	ecs
