name	contigs
chr1	chr1
chr2	chr2
chr3	chr3
chr4	chr4
chr5	chr5
chr6	chr6
chr7	chr7
chr8	chr8
chr9	chr9
chr10	chr10
chr11	chr11
chr12	chr12
chr13	chr13
chr14	chr14
chr15	chr15
chr16	chr16
chr17	chr17
chr18	chr18
chr19	chr19
chrX	chrX
chrY	chrY
chrM	chrM
unplaced_contigs	GL456210.1,GL456211.1,GL456212.1,GL456213.1,GL456216.1,GL456219.1,GL456221.1,GL456233.1,GL456239.1,GL456350.1,GL456354.1,GL456359.1,GL456360.1,GL456366.1,GL456367.1,GL456368.1,GL456370.1,GL456372.1,GL456378.1,GL456379.1,GL456381.1,GL456382.1,GL456383.1,GL456385.1,GL456387.1,GL456389.1,GL456390.1,GL456392.1,GL456393.1,GL456394.1,GL456396.1,JH584292.1,JH584293.1,JH584294.1,JH584295.1,JH584296.1,JH584297.1,JH584298.1,JH584299.1,JH584300.1,JH584301.1,JH584302.1,JH584303.1,JH584304.1
