ens_gene,Symbol,Uniq_syms,entrez,Gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
Ugcg,Ugcg,Ugcg,22234,UDP-glucose ceramide glucosyltransferase,7862.957983,-0.794968355,0.089241645,3.00E-22,3.72E-18
Itgb1,Itgb1,Itgb1,16412,integrin beta 1 (fibronectin receptor beta),103641.3844,0.464173261,0.061049837,5.92E-15,3.67E-11
Gzmk,Gzmk,Gzmk,14945,granzyme K,7042.536658,-0.535013972,0.073160835,3.06E-14,1.27E-10
ENSMUSG00000102051.1,NA,ENSMUSG00000102051.1,NA,NA,6772.007866,-0.543843275,0.076042057,8.99E-14,2.52E-10
Ccl9,Ccl9,Ccl9,20308,C-C motif chemokine ligand 9,614.4623642,-0.750144767,0.114252064,1.02E-13,2.52E-10
Il2ra,Il2ra,Il2ra,16184,"interleukin 2 receptor, alpha chain",1270.118876,-0.643935688,0.095760699,3.92E-13,8.10E-10
ND3,ND3,ND3,17718,NADH dehydrogenase subunit 3,4776.453664,-1.023144253,0.190457032,1.40E-11,2.49E-08
2410006H16Rik,2410006H16Rik,2410006H16Rik,69221,RIKEN cDNA 2410006H16 gene,2422.817449,-0.600095969,0.099409234,6.62E-11,1.03E-07
Trav15-2-dv6-2,Trav15-2-dv6-2,Trav15-2-dv6-2,436545,T cell receptor alpha variable 15-2-DV6-2,197.8115598,1.30497959,0.242119057,1.57E-10,2.16E-07
Serpine2,Serpine2,Serpine2,20720,"serine (or cysteine) peptidase inhibitor, clade E, member 2",143.0654742,-1.149829823,0.242339508,1.00E-09,1.24E-06
Ccr10,Ccr10,Ccr10,12777,C-C motif chemokine receptor 10,66.03672781,2.332335463,0.456286308,1.44E-09,1.63E-06
Mrpl40,Mrpl40,Mrpl40,18100,mitochondrial ribosomal protein L40,5472.741407,-1.854114674,0.376167998,7.98E-09,8.25E-06
Popdc2,Popdc2,Popdc2,64082,popeye domain containing 2,337.9326079,-0.654054085,0.133758921,1.05E-08,9.13E-06
Ighm,Ighm,Ighm,16019,immunoglobulin heavy constant mu,3594.516694,0.642706434,0.130413664,1.06E-08,9.13E-06
ENSMUSG00000100975.2,NA,ENSMUSG00000100975.2,NA,NA,1220.080868,0.447191617,0.086438713,1.11E-08,9.13E-06
Trat1,Trat1,Trat1,77647,T cell receptor associated transmembrane adaptor 1,106.7206804,1.456894616,0.323868402,1.77E-08,1.37E-05
ND5,ND5,ND5,17721,NADH dehydrogenase subunit 5,18402.11282,-0.412982822,0.086517953,3.58E-08,2.61E-05
ENSMUSG00000083563.1,NA,ENSMUSG00000083563.1,NA,NA,162.4307199,-0.841169972,0.219507451,6.41E-08,4.41E-05
Rtp4,Rtp4,Rtp4,67775,receptor transporter protein 4,685.9251212,0.959914757,0.261836159,7.46E-08,4.87E-05
