ens_gene	Symbol	Uniq_syms	entrez	Gene_name	NTC2	NTC3	NTC4	NTC5	sgUgcg1	sgUgcg2	sgUgcg5
ENSMUSG00000098104.1	NA	ENSMUSG00000098104.1	NA	NA	8.981753258190214	8.818139318540277	8.84427769137179	8.803477435564735	8.772592606808079	8.747059071778319	8.788979118139476
ENSMUSG00000102175.1	NA	ENSMUSG00000102175.1	NA	NA	7.6617969387026665	7.556271972037039	7.560831985692123	7.583888520304295	7.6773445870219925	7.7007666324070225	7.626195572137776
ENSMUSG00000103265.1	Gm2053	Gm2053	100039121	transforming, acidic coiled-coil containing protein 3 pseudogene	7.613463113237659	7.6217771517426725	7.702351545120504	7.505312127908469	7.574786282696423	7.660304578594714	7.626195572137776
ENSMUSG00000103922.1	Gm6123	Gm6123	620009	pyruvate dehydrogenase (lipoamide) beta pseudogene	8.082337021206577	8.125042008681799	7.897938486251651	7.9106080952647435	8.19882863828208	7.920611291985422	8.054648623084098
ENSMUSG00000033845.13	Mrpl15	Mrpl15	27395	mitochondrial ribosomal protein L15	11.051217186067051	10.964492795946235	10.888813344800226	10.871191057657786	11.04856112444886	10.982046695450126	10.8587692218093
ENSMUSG00000102275.1	NA	ENSMUSG00000102275.1	NA	NA	7.720891747974023	7.80063042544954	7.842655165352115	7.612618131970887	7.6773445870219925	7.549520545786097	7.703950595826249
ENSMUSG00000025903.14	Lypla1	Lypla1	18777	lysophospholipase 1	11.727976409855257	11.679471938392448	11.721683435399417	11.715290272627882	11.593357891092593	11.759390858378637	11.709845965449944
ENSMUSG00000033813.15	Tcea1	Tcea1	21399	transcription elongation factor A (SII) 1	11.542757994991446	11.079598780251361	11.2353972862464	11.296518573895003	11.332545915785177	11.342935668223465	11.30247664940635
ENSMUSG00000062588.4	NA	ENSMUSG00000062588.4	NA	NA	7.738286905345892	7.671964834603098	7.628216026979134	7.7196286429338254	7.614482390971379	7.660304578594714	7.647937274488109
ENSMUSG00000103280.1	NA	ENSMUSG00000103280.1	NA	NA	7.6617969387026665	7.6217771517426725	7.628216026979134	7.612618131970887	7.614482390971379	7.583563355273468	7.667918369065768
ENSMUSG00000002459.17	Rgs20	Rgs20	58175	regulator of G-protein signaling 20	7.584620802933771	7.59182617858982	7.597406715023039	7.397857456800606	7.397857456800606	7.583563355273468	7.397857456800606
ENSMUSG00000102653.1	NA	ENSMUSG00000102653.1	NA	NA	7.584620802933771	7.59182617858982	7.397857456800606	7.637911923821102	7.523004203990857	7.505124134298404	7.647937274488109
ENSMUSG00000033793.12	Atp6v1h	Atp6v1h	108664	ATPase, H+ transporting, lysosomal V1 subunit H	11.726769216368284	11.610046543017665	11.550921842430412	11.700722323794606	11.736427392907684	11.906450115683331	11.705085533991813
ENSMUSG00000025907.14	Rb1cc1	Rb1cc1	12421	RB1-inducible coiled-coil 1	12.008770602835996	12.082974090473368	11.897724800667577	12.043873420337366	11.997076450455248	11.80684326325233	11.839113132974799
ENSMUSG00000090031.2	NA	ENSMUSG00000090031.2	NA	NA	8.932233116273268	8.641699238090817	9.060525929696313	8.891482186519458	9.260831433486574	8.574118231341709	9.01607351185542
ENSMUSG00000033740.17	St18	St18	240690	suppression of tumorigenicity 18	7.505735499194145	7.397857456800606	7.679838674453708	7.583888520304295	7.614482390971379	7.397857456800606	7.500058611746718
ENSMUSG00000102135.1	NA	ENSMUSG00000102135.1	NA	NA	7.754820548759854	7.714211486746542	7.628216026979134	7.681763189551632	7.728345360807723	7.75280681439328	7.77922775541088
ENSMUSG00000051285.17	Pcmtd1	Pcmtd1	319263	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	11.117429131183393	11.203101089834853	11.175875926334962	11.251598641841632	11.165489942733972	11.116210589234214	11.199249350245116
ENSMUSG00000098201.1	NA	ENSMUSG00000098201.1	NA	NA	7.550384546626172	7.64814465777514	7.655337991803435	7.505312127908469	7.523004203990857	7.397857456800606	7.397857456800606
