ens_gene	Symbol	Uniq_syms	entrez	Gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000028381.8	Ugcg	Ugcg	22234	UDP-glucose ceramide glucosyltransferase	7862.957983089684	-0.7949683535504161	0.0892416453273163	2.99767522911144e-22	3.715918214006541e-18
ENSMUSG00000025809.15	Itgb1	Itgb1	16412	integrin beta 1 (fibronectin receptor beta)	103641.38439792166	0.46417326123421154	0.06104983633553372	5.923765540852565e-15	3.67154988222042e-11
ENSMUSG00000042385.14	Gzmk	Gzmk	14945	granzyme K	7042.536658466613	-0.5350139721064677	0.07316083430040529	3.0619712898665876e-14	1.265206536972874e-10
ENSMUSG00000102051.1	NA	ENSMUSG00000102051.1	NA	NA	6772.00786618225	-0.5438432753129513	0.07604205642202454	8.989648209058727e-14	2.524274616857636e-10
ENSMUSG00000019122.8	Ccl9	Ccl9	20308	C-C motif chemokine ligand 9	614.4623642058041	-0.7501447645040307	0.11425206391250947	1.0181811136082754e-13	2.524274616857636e-10
ENSMUSG00000026770.5	Il2ra	Il2ra	16184	interleukin 2 receptor, alpha chain	1270.11887568875	-0.6439356870114187	0.09576069861728245	3.9183753462883243e-13	8.095363465431678e-10
ENSMUSG00000064360.1	ND3	ND3	17718	NADH dehydrogenase subunit 3	4776.4536640475935	-1.023144259184307	0.19045703508813233	1.4032882204187681e-11	2.4850229686158644e-8
ENSMUSG00000086841.1	2410006H16Rik	2410006H16Rik	69221	RIKEN cDNA 2410006H16 gene	2422.817449050033	-0.6000959680291195	0.0994092330442895	6.618308615678346e-11	1.0255069199993597e-7
ENSMUSG00000076848.3	Trav15-2-dv6-2	Trav15-2-dv6-2	436545	T cell receptor alpha variable 15-2-DV6-2	197.81155984319923	1.3049795975237302	0.24211905282141225	1.56547739831244e-10	2.156184203275667e-7
ENSMUSG00000026249.10	Serpine2	Serpine2	20720	serine (or cysteine) peptidase inhibitor, clade E, member 2	143.0654742326806	-1.1498298339984792	0.2423395075184115	1.0035720712921996e-9	1.2440279395738105e-6
ENSMUSG00000044052.3	Ccr10	Ccr10	12777	C-C motif chemokine receptor 10	66.03672781256674	2.332335435430278	0.45628631461809344	1.4434004148902372e-9	1.6265810493617618e-6
ENSMUSG00000022706.16	Mrpl40	Mrpl40	18100	mitochondrial ribosomal protein L40	5472.741407255496	-1.85411465502883	0.3761679920612782	7.983298243045746e-9	8.246747085066256e-6
ENSMUSG00000022803.12	Popdc2	Popdc2	64082	popeye domain containing 2	337.9326078704899	-0.6540540828647484	0.1337589201554654	1.0528642852633995e-8	9.132937370937925e-6
ENSMUSG00000076617.9	Ighm	Ighm	16019	immunoglobulin heavy constant mu	3594.5166941727225	0.6427064318319531	0.13041366321917416	1.0649687410906394e-8	9.132937370937925e-6
ENSMUSG00000100975.2	NA	ENSMUSG00000100975.2	NA	NA	1220.080868215818	0.44719161717619693	0.08643871271645062	1.1051473101328564e-8	9.132937370937925e-6
ENSMUSG00000030775.10	Trat1	Trat1	77647	T cell receptor associated transmembrane adaptor 1	106.72068036933693	1.4568946178140871	0.3238683937364113	1.7720686909913083e-8	1.372910218345516e-5
ENSMUSG00000064367.1	ND5	ND5	17721	NADH dehydrogenase subunit 5	18402.112816874338	-0.4129828226604177	0.08651795293347363	3.5792734981169326e-8	2.6099220166269112e-5
ENSMUSG00000083563.1	NA	ENSMUSG00000083563.1	NA	NA	162.43071991383977	-0.8411699731581789	0.21950745496660493	6.40559837488624e-8	4.411322080838324e-5
ENSMUSG00000033355.6	Rtp4	Rtp4	67775	receptor transporter protein 4	685.9251212425283	0.9599147623298775	0.2618361644983277	7.461910438084e-8	4.8683074626573294e-5
ENSMUSG00000064370.1	CYTB	CYTB	17711	cytochrome b	78894.53423203899	-0.43052807898946754	0.09506987210491909	1.0390240167335935e-7	6.35203950436613e-5
ENSMUSG00000024793.14	Tnfrsf25	Tnfrsf25	85030	tumor necrosis factor receptor superfamily, member 25	549.1803129811656	0.5949876761429194	0.13270828392234785	1.076095753401813e-7	6.35203950436613e-5
